1,Asset,1110-001,Kas Besar
2,Asset,1110-002,Kas Kecil
3,Asset,1111-001,Bank Mandiri AVK
4,Asset,1111-002,Bank BCA AVK
73,Asset,1111-003,Bank Panin
76,Asset,1111-004,Bank BRI
5,Asset,1115-001,Piutang Usaha
74,Asset,1115-002,Piutang Karyawan
6,Asset,1116-001,Pendapatan Yang Belum Diakui
80,Asset,1117-000,Persediaan Valas
79,Asset,1117-001,Persediaan USD
81,Asset,1117-002,Persediaan SGD
82,Asset,1117-003,Persediaan CNY
83,Asset,1117-004,Persediaan MYR
84,Asset,1117-005,Persediaan SAR
85,Asset,1117-006,Persediaan KRW
86,Asset,1117-007,Persediaan JPY
87,Asset,1117-008,Persediaan THB
88,Asset,1117-009,Persediaan VND
89,Asset,1117-010,Persediaan AUD
90,Asset,1117-011,Persediaan EUR
103,Asset,1117-012,Persediaan AED
121,Asset,1117-013,Persediaan HKD
122,Asset,1117-014,Persediaan TWD
123,Asset,1117-015,Persediaan NZD
124,Asset,1117-016,Persediaan CHF
129,Asset,1117-017,Persediaan TRY
134,Asset,1117-018,Persediaan GBP
136,Asset,1117-019,Persediaan PHP
137,Asset,1117-020,Persediaan CAD
10135,Asset,1117-021,Persediaan INR
10136,Asset,1117-022,Persediaan QAR
7,Asset,1119-001,Persediaan
78,Asset,1119-002,Perlengkapan kantor
8,Asset,1120-001,Uang Muka Pembelian
9,Asset,1121-001,Biaya Dibayar Dimuka
10,Asset,1410-001,Tanah
11,Asset,1510-001,Akumulasi Penyusutan
12,Liability,2110-001,Hutang Usaha
10139,Liability,2110-002,Hutang Pembelian Sementara
13,Liability,2114-001,Hutang Jangka Panjang
14,Liability,2115-001,PPN Keluaran
15,Liability,2115-002,Hutang Pajak
16,Liability,2116-001,Hutang Bank
69,Liability,2116-002,Hutang Pemegang Saham
17,Liability,2119-001,Uang Muka Penjualan
68,Liability,2120-001,Titipan Setoran Bank
77,Liability,2120-002,Titipan Sementara
18,Equity,3110-001,Modal Saham
19,Equity,3180-001,Laba Ditahan
20,Equity,3190-001,Laba Tahun Berjalan
21,Income,4100-001,Penjualan valuta asing
91,Income,4100-002,Penjualan USD
